Feature,Coefficient
lh_entorhinal-rh_cuneus,-0.0160742012427828
lh_entorhinal-rh_entorhinal,0.0
lh_entorhinal-rh_fusiform,-0.0
lh_entorhinal-rh_inferiorparietal,-0.0
lh_entorhinal-rh_inferiortemporal,0.0
lh_entorhinal-rh_isthmuscingulate,-0.0
lh_entorhinal-rh_lateraloccipital,-0.0
lh_entorhinal-rh_lateralorbitofrontal,0.0
lh_entorhinal-rh_lingual,-0.0
lh_entorhinal-rh_medialorbitofrontal,-0.0
lh_entorhinal-rh_middletemporal,0.0
lh_entorhinal-rh_parahippocampal,0.0
lh_entorhinal-rh_paracentral,-0.0
lh_entorhinal-rh_parsopercularis,-0.0
lh_entorhinal-rh_parsorbitalis,-0.0
lh_entorhinal-rh_parstriangularis,-0.0
lh_entorhinal-rh_pericalcarine,-0.0
lh_entorhinal-rh_postcentral,-0.0
lh_entorhinal-rh_posteriorcingulate,0.0
lh_entorhinal-rh_precentral,-0.0
lh_entorhinal-rh_precuneus,-0.0
lh_entorhinal-rh_rostralanteriorcingulate,0.0
lh_entorhinal-rh_rostralmiddlefrontal,0.0
lh_entorhinal-rh_superiorfrontal,-0.0
lh_entorhinal-rh_superiorparietal,-0.0
lh_entorhinal-rh_superiortemporal,-0.014165404729190749
lh_entorhinal-rh_supramarginal,-0.0
lh_entorhinal-rh_frontalpole,-0.03460616168366081
lh_entorhinal-rh_temporalpole,-0.007262203934735779
lh_entorhinal-rh_transversetemporal,0.0
lh_entorhinal-rh_insula,-0.0
lh_fusiform-lh_inferiorparietal,-0.0
lh_fusiform-lh_inferiortemporal,0.0
lh_fusiform-lh_isthmuscingulate,-0.0
lh_fusiform-lh_lateraloccipital,-0.0
lh_fusiform-lh_lateralorbitofrontal,-0.0
lh_fusiform-lh_lingual,-0.010977553534765603
lh_fusiform-lh_medialorbitofrontal,-0.0
lh_fusiform-lh_middletemporal,-0.0
lh_fusiform-lh_parahippocampal,0.0
lh_fusiform-lh_paracentral,-0.0
lh_fusiform-lh_parsopercularis,0.0
