Feature,Coefficient
lh_cuneus-lh_superiorfrontal,0.7199864175398585
lh_cuneus-lh_superiorparietal,-0.0
lh_cuneus-lh_superiortemporal,0.0
lh_cuneus-lh_supramarginal,0.0
lh_cuneus-lh_frontalpole,0.0
lh_cuneus-lh_temporalpole,0.0
lh_cuneus-lh_transversetemporal,0.0
lh_cuneus-lh_insula,0.18555995415880275
lh_cuneus-rh_bankssts,0.40547735049648226
lh_cuneus-rh_caudalanteriorcingulate,-0.4514301831360758
lh_cuneus-rh_caudalmiddlefrontal,0.02631574635361542
lh_cuneus-rh_cuneus,-0.2917060128868333
lh_cuneus-rh_entorhinal,0.41729712393907
lh_cuneus-rh_fusiform,0.0
lh_cuneus-rh_inferiorparietal,0.0
lh_cuneus-rh_inferiortemporal,0.0
lh_cuneus-rh_isthmuscingulate,-0.0
lh_cuneus-rh_lateraloccipital,-0.0
lh_cuneus-rh_lateralorbitofrontal,0.12761302067083982
lh_cuneus-rh_lingual,-0.7715712204604468
lh_cuneus-rh_medialorbitofrontal,0.0
lh_cuneus-rh_middletemporal,0.17860343003508827
lh_cuneus-rh_parahippocampal,-0.0
lh_cuneus-rh_paracentral,0.0
lh_cuneus-rh_parsopercularis,0.05884006968926499
lh_cuneus-rh_parsorbitalis,0.0
lh_cuneus-rh_parstriangularis,-0.0
lh_cuneus-rh_pericalcarine,-0.1401490460620741
lh_cuneus-rh_postcentral,-0.0
lh_cuneus-rh_posteriorcingulate,0.0
lh_cuneus-rh_precentral,0.1826545253710361
lh_cuneus-rh_precuneus,-0.0
lh_cuneus-rh_rostralanteriorcingulate,-0.2743541312771756
lh_cuneus-rh_rostralmiddlefrontal,0.0
lh_cuneus-rh_superiorfrontal,0.2625044244594501
lh_cuneus-rh_superiorparietal,-0.15708507378806205
lh_cuneus-rh_superiortemporal,0.04264789663820131
lh_cuneus-rh_supramarginal,0.2793901888548428
lh_cuneus-rh_frontalpole,0.0
lh_cuneus-rh_temporalpole,0.0
lh_cuneus-rh_transversetemporal,0.0
lh_cuneus-rh_insula,0.13603747881391534
lh_entorhinal-lh_fusiform,-0.0
lh_entorhinal-lh_inferiorparietal,0.0
lh_entorhinal-lh_inferiortemporal,-0.23309405118980353
lh_entorhinal-lh_isthmuscingulate,-0.0
lh_entorhinal-lh_lateraloccipital,0.0
lh_entorhinal-lh_lateralorbitofrontal,0.0
lh_entorhinal-lh_lingual,-0.0
lh_entorhinal-lh_medialorbitofrontal,-0.0
lh_entorhinal-lh_middletemporal,-0.19221418593892187
lh_entorhinal-lh_parahippocampal,-0.0
lh_entorhinal-lh_paracentral,0.0
lh_entorhinal-lh_parsopercularis,-0.0
lh_entorhinal-lh_parsorbitalis,0.12242069244866861
lh_entorhinal-lh_parstriangularis,-0.0
lh_entorhinal-lh_pericalcarine,0.12883763408386995
lh_entorhinal-lh_postcentral,0.0008264259890269978
lh_entorhinal-lh_posteriorcingulate,-0.31032002841124395
lh_entorhinal-lh_precentral,0.0
lh_entorhinal-lh_precuneus,0.0
lh_entorhinal-lh_rostralanteriorcingulate,-0.2839169144777857
lh_entorhinal-lh_rostralmiddlefrontal,-0.14248143147741954
lh_entorhinal-lh_superiorfrontal,-0.2705696554082336
lh_entorhinal-lh_superiorparietal,0.019499944497004422
lh_entorhinal-lh_superiortemporal,-0.44947044612959436
lh_entorhinal-lh_supramarginal,-0.0
lh_entorhinal-lh_frontalpole,0.7273575159752573
lh_entorhinal-lh_temporalpole,-0.15311789443913074
lh_entorhinal-lh_transversetemporal,-0.5416604474186366
lh_entorhinal-lh_insula,-0.47218588301265996
lh_entorhinal-rh_bankssts,-0.0
lh_entorhinal-rh_caudalanteriorcingulate,-0.0
lh_entorhinal-rh_caudalmiddlefrontal,0.0
lh_entorhinal-rh_cuneus,0.2842940701371525
lh_entorhinal-rh_entorhinal,-0.0
lh_entorhinal-rh_fusiform,-0.11952012465680197
lh_entorhinal-rh_inferiorparietal,0.1601609333648514
lh_entorhinal-rh_inferiortemporal,-0.12056990356363617
lh_entorhinal-rh_isthmuscingulate,-0.2375075941491854
lh_entorhinal-rh_lateraloccipital,-0.0
lh_entorhinal-rh_lateralorbitofrontal,-0.0
lh_entorhinal-rh_lingual,0.11593939634812489
lh_entorhinal-rh_medialorbitofrontal,-0.0
lh_entorhinal-rh_middletemporal,-0.19000450785319373
lh_entorhinal-rh_parahippocampal,-0.0
lh_entorhinal-rh_paracentral,-0.0
