Row,Component_1,Component_2,Component_3
lh_caudalanteriorcingulate-rh_postcentral,-1.42717951630246e-05,-1.10475131090378e-06,1.38968239442688e-05
lh_caudalanteriorcingulate-rh_posteriorcingulate,-5.26894440945998e-06,3.72716315281161e-06,3.377137327457e-05
lh_caudalanteriorcingulate-rh_precentral,-1.06438724957161e-05,5.95680624181862e-06,3.14734312288615e-05
lh_caudalanteriorcingulate-rh_precuneus,-1.35814895708035e-05,-5.58564747745362e-06,9.01159198932706e-06
lh_caudalanteriorcingulate-rh_rostralanteriorcingulate,-9.53844681620117e-06,-8.86634723781734e-06,3.73520417230555e-06
lh_caudalanteriorcingulate-rh_rostralmiddlefrontal,-1.07551427138978e-05,1.87194843469462e-06,1.86856937842892e-05
lh_caudalanteriorcingulate-rh_superiorfrontal,-1.03266333038404e-05,9.762018109066e-07,1.49252773457736e-05
lh_caudalanteriorcingulate-rh_superiorparietal,-8.70266502370662e-06,8.95234026264832e-06,3.18156376836207e-05
lh_caudalanteriorcingulate-rh_superiortemporal,-1.20639425878074e-05,1.98244203488378e-06,1.98379570536915e-05
lh_caudalanteriorcingulate-rh_supramarginal,-9.48040475925519e-06,3.24892350100994e-06,2.63752944677798e-05
lh_caudalanteriorcingulate-rh_frontalpole,-1.94432077402266e-05,-1.26750327539297e-05,2.22236328216091e-06
lh_caudalanteriorcingulate-rh_temporalpole,-7.03783486302657e-06,9.70293426700697e-06,6.18244992172115e-06
lh_caudalanteriorcingulate-rh_transversetemporal,-8.95096518875919e-06,1.80235904946619e-06,2.50346696181249e-05
lh_caudalanteriorcingulate-rh_insula,-2.31700489530731e-06,1.83328433028643e-05,5.26186299507582e-05
lh_caudalmiddlefrontal-lh_cuneus,1.61012442637457e-06,1.83216862307296e-05,-2.46062222897939e-05
lh_caudalmiddlefrontal-lh_entorhinal,-4.41443131628898e-06,8.66998216096965e-06,1.90586268654356e-05
lh_caudalmiddlefrontal-lh_fusiform,-1.10411043081126e-05,-1.02009258871624e-06,1.56919165225847e-06
lh_caudalmiddlefrontal-lh_inferiorparietal,-8.53441634898384e-06,-1.84448206263184e-06,-8.15399282912813e-06
lh_caudalmiddlefrontal-lh_inferiortemporal,-1.35060402390578e-05,-5.57964570146973e-06,-1.74911793263266e-06
lh_caudalmiddlefrontal-lh_isthmuscingulate,1.09935456957362e-05,3.66142833163582e-05,2.15951906604175e-05
lh_caudalmiddlefrontal-lh_lateraloccipital,4.43691990296787e-07,1.69201436496435e-05,-8.9199708804936e-06
