Row,Component_1,Component_2
lh_caudalanteriorcingulate-rh_lateralorbitofrontal,-7.16227845286937e-06,4.83976922938818e-05
lh_caudalanteriorcingulate-rh_lingual,-1.18561022131942e-06,1.04405808771148e-05
lh_caudalanteriorcingulate-rh_medialorbitofrontal,-1.70636244018858e-05,1.90130335246707e-05
lh_caudalanteriorcingulate-rh_middletemporal,-6.41826366451413e-06,6.67836805268884e-05
lh_caudalanteriorcingulate-rh_parahippocampal,-2.00604960475008e-06,6.70038029805001e-05
lh_caudalanteriorcingulate-rh_paracentral,-8.13637318153921e-06,6.0198532336888e-05
lh_caudalanteriorcingulate-rh_parsopercularis,-4.55878753272326e-07,7.61849343671969e-05
lh_caudalanteriorcingulate-rh_parsorbitalis,-9.78730703373206e-06,5.05740656378035e-05
lh_caudalanteriorcingulate-rh_parstriangularis,-4.64541960818684e-06,6.40071021870187e-05
lh_caudalanteriorcingulate-rh_pericalcarine,8.31276238556879e-06,-3.96953054573859e-05
lh_caudalanteriorcingulate-rh_postcentral,-2.08949599828951e-06,4.57461590415269e-05
lh_caudalanteriorcingulate-rh_posteriorcingulate,-1.31298684420631e-05,1.55189015737804e-06
lh_caudalanteriorcingulate-rh_precentral,-7.63597913275731e-06,5.91564941575986e-05
lh_caudalanteriorcingulate-rh_precuneus,-4.38276027668209e-06,6.85434684894822e-05
lh_caudalanteriorcingulate-rh_rostralanteriorcingulate,-1.2234965167622e-05,2.02385045874188e-05
lh_caudalanteriorcingulate-rh_rostralmiddlefrontal,2.78329293854475e-07,7.34303772423774e-05
lh_caudalanteriorcingulate-rh_superiorfrontal,-2.04848300260818e-06,7.00807830614173e-05
lh_caudalanteriorcingulate-rh_superiorparietal,4.62359451371286e-06,7.69690412678219e-05
lh_caudalanteriorcingulate-rh_superiortemporal,-8.47970142604399e-06,5.78312503154692e-05
lh_caudalanteriorcingulate-rh_supramarginal,-6.3943981168996e-06,6.08280328843681e-05
lh_caudalanteriorcingulate-rh_frontalpole,-1.59022614576479e-05,1.98309264672947e-05
lh_caudalanteriorcingulate-rh_temporalpole,5.17796564840294e-06,3.75562504135709e-05
lh_caudalanteriorcingulate-rh_transversetemporal,-6.93777142509824e-06,4.20329179431589e-05
lh_caudalanteriorcingulate-rh_insula,2.34220016167611e-06,5.76021274345951e-05
lh_caudalmiddlefrontal-lh_cuneus,3.58341557560683e-05,8.40604773129934e-06
lh_caudalmiddlefrontal-lh_entorhinal,-9.42722720550136e-06,-1.52360002514407e-05
lh_caudalmiddlefrontal-lh_fusiform,-1.30593066754581e-05,4.52982800584837e-06
lh_caudalmiddlefrontal-lh_inferiorparietal,-4.11799822888084e-06,-1.56553349896166e-06
lh_caudalmiddlefrontal-lh_inferiortemporal,-2.10178770480942e-05,-6.65931035141806e-06
lh_caudalmiddlefrontal-lh_isthmuscingulate,9.62416637264615e-06,-7.85373811786865e-07
lh_caudalmiddlefrontal-lh_lateraloccipital,2.99197295492538e-05,3.32898092318507e-05
lh_caudalmiddlefrontal-lh_lateralorbitofrontal,-1.80393762030328e-05,-1.27135408889958e-05
lh_caudalmiddlefrontal-lh_lingual,2.60406798475156e-05,-5.16760582591656e-06
lh_caudalmiddlefrontal-lh_medialorbitofrontal,-1.0806722061607e-05,1.27340750459869e-06
lh_caudalmiddlefrontal-lh_middletemporal,-1.35435354487186e-05,1.90196190091448e-05
lh_caudalmiddlefrontal-lh_parahippocampal,-8.23139623895148e-06,2.11457414157936e-06
lh_caudalmiddlefrontal-lh_paracentral,3.78792534742333e-06,2.54953350938439e-05
lh_caudalmiddlefrontal-lh_parsopercularis,-5.65072670276905e-07,4.54935564406184e-05
lh_caudalmiddlefrontal-lh_parsorbitalis,-1.76609355619595e-05,6.24197508392763e-06
lh_caudalmiddlefrontal-lh_parstriangularis,-6.74720913927674e-06,1.79172312189983e-05
lh_caudalmiddlefrontal-lh_pericalcarine,3.67420932002715e-05,3.76868278854069e-06
lh_caudalmiddlefrontal-lh_postcentral,2.44571373994022e-05,5.46628366480936e-05
lh_caudalmiddlefrontal-lh_posteriorcingulate,1.04577382073818e-06,4.35811041140143e-05
lh_caudalmiddlefrontal-lh_precentral,-2.57952994531072e-06,3.05167819557705e-05
lh_caudalmiddlefrontal-lh_precuneus,3.14190188085108e-07,-1.02365378899462e-05
lh_caudalmiddlefrontal-lh_rostralanteriorcingulate,-2.7095274349551e-05,-9.61858193403979e-06
lh_caudalmiddlefrontal-lh_rostralmiddlefrontal,-5.53862576248988e-06,-1.12659855645621e-05
lh_caudalmiddlefrontal-lh_superiorfrontal,-2.00792608031739e-05,-2.56080905943713e-06
lh_caudalmiddlefrontal-lh_superiorparietal,1.94778195506838e-05,2.59168193169346e-05
lh_caudalmiddlefrontal-lh_superiortemporal,-1.18087463614617e-05,1.47767439288739e-05
lh_caudalmiddlefrontal-lh_supramarginal,-2.19295818107457e-05,-2.75712334084378e-05
