,Component_1,Component_2,Component_3,Component_4,Component_5
lh_transversetemporal-rh_superiorfrontal,0.0343250871921712,-0.013370235920734216,0.015839806775542295,-0.019290404766561745,-0.02004616227850413
lh_transversetemporal-rh_superiorparietal,0.006922598735685339,0.022684063765176316,-0.01684045024003449,-0.0069602071624489,0.008898471282683418
lh_transversetemporal-rh_superiortemporal,0.024152224523894775,0.0032467387176199243,0.001115789495262344,-0.01100074703557904,0.0028058311825318208
lh_transversetemporal-rh_supramarginal,0.0232264545643949,-0.0019456279004405315,0.0047003750759955255,-0.014775703467892014,-0.004745119005982619
lh_transversetemporal-rh_frontalpole,0.04624612759851456,-0.01715226893482325,0.004537893829607715,-0.0271561871604707,-0.0026252046190712334
lh_transversetemporal-rh_temporalpole,0.01467171236905281,0.017135887420851325,0.017317957768969012,-0.0013716744659504874,-0.055970432918243156
lh_transversetemporal-rh_transversetemporal,0.00696598708891642,0.008773320748493468,-0.01997210434786782,-0.02510096026498841,-0.027732144374129127
lh_transversetemporal-rh_insula,0.01293390387814551,0.008048317559323599,-0.0005652143782750562,-0.021088254172360685,-0.011747720702787495
lh_insula-rh_bankssts,0.006182738762520163,0.0033164890417315433,0.0016921930224165545,0.0005352165736574875,-0.008272818154238793
lh_insula-rh_caudalanteriorcingulate,-0.013401430299181605,0.05230465133349618,-0.04568142429334331,-0.00567342163013302,-0.03565105898656401
lh_insula-rh_caudalmiddlefrontal,-0.003901053325051664,0.03398194505714624,-0.014576037536533254,-0.014563419252647434,0.0016531333386683553
lh_insula-rh_cuneus,0.0006331345470356897,0.023110307841304596,0.023634759510780003,-0.02956461188516191,-0.019409594988345342
lh_insula-rh_entorhinal,0.022506329823904044,-0.005119709133634709,0.027097976585008683,0.011471276882788026,-0.013006248913606001
lh_insula-rh_fusiform,0.02116521082546755,0.02133355255875535,-0.013750202302949216,-0.013759634338690208,-0.007293689501628522
lh_insula-rh_inferiorparietal,0.0063216055505994255,0.017677904356085076,0.009646076071597499,0.013457848877090488,0.020184916833518456
lh_insula-rh_inferiortemporal,0.0333428096067157,-0.003964563020819017,0.037669740269380324,0.030128043695870032,0.02360470649021666
lh_insula-rh_isthmuscingulate,0.006549160726132465,0.018389209219300276,0.020916283521380707,0.02890492424734554,0.010688459987089886
lh_insula-rh_lateraloccipital,-0.0010367273640842568,0.031031462969144198,0.002613647451119878,-0.020452197038261767,-0.0016807624946026066
lh_insula-rh_lateralorbitofrontal,0.005963540000745161,0.021976932231102236,0.004066718557691463,0.002025639210710228,0.009112560939488484
lh_insula-rh_lingual,0.0011566151712644789,0.03295028371099198,0.01048797260504953,-0.02581535732659017,-0.01549651789028413
lh_insula-rh_medialorbitofrontal,0.012535879815617964,0.015386883939653597,0.015337803710734479,0.019529898593616996,0.01414997193444149
lh_insula-rh_middletemporal,0.02336656099886301,0.001958264552152996,0.02341355958679518,0.02143459248466325,0.01864408316044333
lh_insula-rh_parahippocampal,0.014460724312619615,0.008766611742900183,0.008041342082936782,0.0032220956028918266,-0.005314000025037907
lh_insula-rh_paracentral,0.006081909244702866,0.028168100289224195,-0.009991949327562102,0.0042924168409929405,0.003727494724854196
lh_insula-rh_parsopercularis,-0.0063558183686361035,0.043530538546047416,-0.031004891240177565,-0.03146848486009988,-0.016823884831635553
lh_insula-rh_parsorbitalis,0.0038533726093008007,0.03290845970840688,-0.001420849079410823,0.008349327705623775,0.02460300031903593
lh_insula-rh_parstriangularis,-0.01159761507637006,0.045824633174047155,-0.024136387984915714,-0.02003621303882867,-0.007966370088269094
lh_insula-rh_pericalcarine,-0.0016654778725208373,0.015633303204806787,0.04358784728230177,-0.00862386298885479,0.010005560358491558
lh_insula-rh_postcentral,0.009032709986559122,0.022756147122004817,0.007965482740313869,0.005641278460728094,0.01680797893301654
lh_insula-rh_posteriorcingulate,-0.0017452711372240564,0.03628888173098761,-0.0168656577502985,0.018838195126631804,-0.022484213950224027
lh_insula-rh_precentral,0.019894527781495686,0.0027319286031179607,0.020755974819154213,0.026177199210898023,0.05017746718826512
lh_insula-rh_precuneus,0.00416444055525605,0.02641582547097165,-0.005211861938543965,-0.012950732727561965,0.0006057012773985788
lh_insula-rh_rostralanteriorcingulate,0.009985786240460672,0.02290032762198752,-0.017170623853664677,-0.008702324593247891,-0.015334978955621659
lh_insula-rh_rostralmiddlefrontal,-0.008137819258005574,0.04283586745702078,-0.006578607823759244,-0.004399603004283772,-5.989508280143788e-05
lh_insula-rh_superiorfrontal,0.015641037750098678,0.020300891492339285,0.00999890324428245,0.012258811087870778,0.021671299695575966
lh_insula-rh_superiorparietal,-0.01882405864683506,0.0524191958125286,-0.023447893333640744,-0.01872437596067685,0.011072304401634779
lh_insula-rh_superiortemporal,0.03804801777727029,-0.00944988343085884,0.03907989240763984,0.03531632716442169,0.03243533009329095
lh_insula-rh_supramarginal,0.008085160037684556,0.014132990267272764,0.009780457878832246,0.008162378976739843,0.01591475308673895
lh_insula-rh_frontalpole,0.01692522010869417,0.016632511777070445,0.00819410902433774,-0.010234228118490292,0.011846736473801708
lh_insula-rh_temporalpole,0.02636353349896208,0.0024923823863897544,0.05390742171694906,0.05107094914534836,-0.0053966415379293345
lh_insula-rh_transversetemporal,-0.002518689813165842,0.024809891187567778,-0.02072284700388879,-0.03858221904533639,-0.020933381647612884
lh_insula-rh_insula,0.02922077155302459,-0.005223525385652964,-0.004589992199341662,0.004669492409043715,0.005199640634787073
rh_bankssts-rh_caudalanteriorcingulate,-0.0019442410788130264,0.03988009354729242,-0.03994201954740824,0.013588249414079627,-0.024443224651747524
rh_bankssts-rh_caudalmiddlefrontal,0.020745982075756248,-0.000562538359918745,-0.003760892546020015,0.0009572016016286363,0.01432442501060717
rh_bankssts-rh_cuneus,0.005794270976293093,0.018352061176711582,0.02355473742094043,-0.02563675716469276,-0.0021564121850290736
rh_bankssts-rh_entorhinal,0.024386078052863244,-0.00336283171530339,-0.0007367789535975708,-0.016067329826730307,-0.03263235640621283
rh_bankssts-rh_fusiform,0.025008493647467957,0.003827123533070701,-0.009400073841324326,-0.013741137879806352,-0.0025589681676666653
rh_bankssts-rh_inferiorparietal,0.02260701091606041,-0.005225655174553386,0.008886231099054464,0.016539300287524542,0.03269992297252363
rh_bankssts-rh_inferiortemporal,0.033405415567841025,-0.010529720817281726,0.011625390605444848,0.0037951184147425442,0.00468124674656433
