,Component_1,Component_2
lh_caudalmiddlefrontal-lh_superiorfrontal,0.03742644150380405,0.00394123575889016
lh_caudalmiddlefrontal-lh_superiorparietal,-0.015910267272867366,0.038524392351302776
lh_caudalmiddlefrontal-lh_superiortemporal,0.02158501704843469,0.02162668009337523
lh_caudalmiddlefrontal-lh_supramarginal,0.033984254666804686,-0.00865144870566499
lh_caudalmiddlefrontal-lh_frontalpole,0.037927757707875216,-0.0071395707909968804
lh_caudalmiddlefrontal-lh_temporalpole,0.01197122702836334,0.01691708300651789
lh_caudalmiddlefrontal-lh_transversetemporal,-0.0018205392005505394,0.021152505520692682
lh_caudalmiddlefrontal-lh_insula,-0.0008453572556356066,0.02390830557675597
lh_caudalmiddlefrontal-rh_bankssts,0.019637050137819315,0.010538288328615102
lh_caudalmiddlefrontal-rh_caudalanteriorcingulate,-0.013714359314973024,0.04964373192996228
lh_caudalmiddlefrontal-rh_caudalmiddlefrontal,0.017010906640622155,0.013666748445846956
lh_caudalmiddlefrontal-rh_cuneus,-0.028405317045868936,0.026988379347605243
lh_caudalmiddlefrontal-rh_entorhinal,0.023109332885779668,-0.000989970106191321
lh_caudalmiddlefrontal-rh_fusiform,0.011293148541857053,0.0240304000064929
lh_caudalmiddlefrontal-rh_inferiorparietal,0.012131030442112393,0.0006894138218640997
lh_caudalmiddlefrontal-rh_inferiortemporal,0.028365933061975882,0.009390819097468738
lh_caudalmiddlefrontal-rh_isthmuscingulate,-0.01088321058688718,0.013499299362994951
lh_caudalmiddlefrontal-rh_lateraloccipital,-0.022514673698264518,0.030756796653839232
lh_caudalmiddlefrontal-rh_lateralorbitofrontal,0.013854734750170305,0.023128790804541017
lh_caudalmiddlefrontal-rh_lingual,-0.035217285658148315,0.04504762424200601
lh_caudalmiddlefrontal-rh_medialorbitofrontal,0.01810943915419564,0.011735651440435495
lh_caudalmiddlefrontal-rh_middletemporal,0.021513515133110388,0.021653945424879757
lh_caudalmiddlefrontal-rh_parahippocampal,0.003938877091568416,0.01756148516514857
lh_caudalmiddlefrontal-rh_paracentral,0.005872122933788316,0.02505697423894228
lh_caudalmiddlefrontal-rh_parsopercularis,0.0172377806418063,0.01471117767850668
lh_caudalmiddlefrontal-rh_parsorbitalis,0.019543908135079995,0.020075671743089003
lh_caudalmiddlefrontal-rh_parstriangularis,0.011591355928852642,0.006826485913617303
lh_caudalmiddlefrontal-rh_pericalcarine,-0.03001695919525017,0.022223909549566826
lh_caudalmiddlefrontal-rh_postcentral,-0.013596118484198486,0.03580419701274151
lh_caudalmiddlefrontal-rh_posteriorcingulate,-0.003474516338591388,0.031365404990403134
lh_caudalmiddlefrontal-rh_precentral,0.01218128397596502,0.021799423039750403
lh_caudalmiddlefrontal-rh_precuneus,-0.001353999546607684,0.019064719885145687
lh_caudalmiddlefrontal-rh_rostralanteriorcingulate,0.0316466861547818,0.02328853689444477
lh_caudalmiddlefrontal-rh_rostralmiddlefrontal,-0.005321726141925236,0.020416744483215298
lh_caudalmiddlefrontal-rh_superiorfrontal,0.0443944660293874,0.0002617601198454077
lh_caudalmiddlefrontal-rh_superiorparietal,-0.021974675435590865,0.03593224412500766
lh_caudalmiddlefrontal-rh_superiortemporal,0.02779538391561342,0.016955244422909903
lh_caudalmiddlefrontal-rh_supramarginal,0.03922511116134817,-0.015933350864816086
lh_caudalmiddlefrontal-rh_frontalpole,0.035387799909023736,-0.0032378025848612624
lh_caudalmiddlefrontal-rh_temporalpole,0.015507783052165727,0.014647870608292079
lh_caudalmiddlefrontal-rh_transversetemporal,0.0027344663897309026,0.016016293366498874
lh_caudalmiddlefrontal-rh_insula,0.0071329894396488566,0.019123334997846526
lh_cuneus-lh_entorhinal,-0.02705367546396645,0.04771831119073706
lh_cuneus-lh_fusiform,-0.015586244545711144,0.037934101902670866
lh_cuneus-lh_inferiorparietal,-0.012683820047322259,0.02419543675301864
lh_cuneus-lh_inferiortemporal,-0.011520572831287986,0.027861394978314295
lh_cuneus-lh_isthmuscingulate,0.00912284863435193,-0.005385504233187736
lh_cuneus-lh_lateraloccipital,0.004204176520197731,0.0016884479168926467
lh_cuneus-lh_lateralorbitofrontal,-0.012031712579104127,0.025343708112782116
lh_cuneus-lh_lingual,0.02660271687974994,-0.024593916985284757
lh_cuneus-lh_medialorbitofrontal,-0.010812872829850452,0.0293503064864303
lh_cuneus-lh_middletemporal,-0.016065868905814098,0.029484751797418135
lh_cuneus-lh_parahippocampal,0.003239048257381053,0.006495774645468619
lh_cuneus-lh_paracentral,-0.00693104288150283,0.009922528247931417
lh_cuneus-lh_parsopercularis,-0.024988535879311696,0.03182628815962579
lh_cuneus-lh_parsorbitalis,-0.02208935362701229,0.04055158471738303
lh_cuneus-lh_parstriangularis,-0.012473059858549719,0.021441809857400386
lh_cuneus-lh_pericalcarine,0.0102728024974263,0.005580893839827154
lh_cuneus-lh_postcentral,-0.0065802561859935995,0.016561711051122908
lh_cuneus-lh_posteriorcingulate,0.007536160610371502,0.01713272194966754
lh_cuneus-lh_precentral,-0.03565518825220277,0.03784546640763228
lh_cuneus-lh_precuneus,-0.016756728556982747,0.030028361245398236
lh_cuneus-lh_rostralanteriorcingulate,0.010538427677385635,0.02114033109240197
lh_cuneus-lh_rostralmiddlefrontal,-0.018582973969103148,0.033690966717059095
lh_cuneus-lh_superiorfrontal,-0.03647900899229237,0.05307176178224069
lh_cuneus-lh_superiorparietal,-0.009405126400563806,0.017786209582616713
lh_cuneus-lh_superiortemporal,-0.021812441276538818,0.035237029188351914
lh_cuneus-lh_supramarginal,-0.023040949999863735,0.034596724004773004
lh_cuneus-lh_frontalpole,-0.008828152735610282,0.029313879481485495
lh_cuneus-lh_temporalpole,-0.021332405926529255,0.04043265549509095
lh_cuneus-lh_transversetemporal,0.00948895831983288,0.012111555462517763
lh_cuneus-lh_insula,-0.016467991934618773,0.034855596545195544
lh_cuneus-rh_bankssts,-0.004666010310660408,0.030508889601056213
lh_cuneus-rh_caudalanteriorcingulate,0.026348305292456974,-0.007979423803409812
lh_cuneus-rh_caudalmiddlefrontal,-0.021377660117716486,0.035643527021488125
lh_cuneus-rh_cuneus,0.01944372286948516,-0.019171320839935734
lh_cuneus-rh_entorhinal,-0.01884588974766849,0.038571755417844064
lh_cuneus-rh_fusiform,-0.004382408629928602,0.028621422032759494
lh_cuneus-rh_inferiorparietal,-0.00972159786672991,0.024491419127252684
lh_cuneus-rh_inferiortemporal,-0.008486548488704294,0.02888198289094389
lh_cuneus-rh_isthmuscingulate,0.008727621717177381,0.0036458130983431257
lh_cuneus-rh_lateraloccipital,0.012557338626435864,-0.003737446614985988
lh_cuneus-rh_lateralorbitofrontal,-0.006730024797752707,0.03177355500806496
lh_cuneus-rh_lingual,0.02471503538343154,-0.022470790008388655
lh_cuneus-rh_medialorbitofrontal,-0.004121767808854755,0.029946207898107945
lh_cuneus-rh_middletemporal,-0.014731953760708573,0.037227466439203674
