,Component_1,Component_2,Component_3,Component_4,Component_5,Component_6,Component_7,Component_8,Component_9
IC2-IC20,-0.016429648685931223,0.14219670357698802,0.06441005345140652,-0.08490343890974399,0.1340184326925486,-0.07646233200709833,0.07833874231336212,0.02521856120732546,0.02356890468767131
IC2-IC21,-0.0012934944291981484,-0.06013922635786898,-0.07338817501198053,0.11501127643816154,0.06353568104168501,0.05284592651253608,0.01439282244445991,0.024699611029342313,0.005021637601478845
IC3-IC4,-0.02646194358916095,0.017937265425659668,-0.031114515284416607,-0.07291085110362967,0.17056594244767762,-0.04491252011611468,-0.021450560636041324,-0.14569452795696755,0.019109345943037093
IC3-IC5,-0.018834745713067574,-0.018172222866751873,0.009566027791977287,0.08678186418743807,0.06558320912473203,0.0056381052228198026,0.02517983941199352,-0.016061389577937343,0.04395815975556753
IC3-IC6,0.012935367225226684,0.00539180525825337,-0.006190981650816918,0.05605321992282781,0.0905470147384845,-0.003952329019493603,0.04857879839607592,-0.023507357810549565,-0.007849532828772786
IC3-IC7,-0.0507913538377954,-0.004603847954458208,0.06608668891501653,0.05028344459367368,0.037739253808975845,-0.15226496871274595,-0.0049428827498745635,-0.0041579462447134076,-0.15760187237018775
IC3-IC8,-0.05533638528882561,-0.03901046244217565,0.018649167539659173,-0.015666452895877148,0.20418689654666328,-0.003567370131363016,-0.03836084848198348,-0.12963467284091013,0.06912448231087172
IC3-IC9,0.03604131288546399,-0.13827519228383628,-0.022836433053000916,0.05586262000445301,-0.042266350185380476,0.0901461619573702,-0.031951027482029444,0.09096962632410271,-0.032647594214054575
IC3-IC10,0.012603838690809208,0.036369407825993884,0.042010006195755366,0.04835570178304737,-0.0400468207069932,0.06161743733492874,-0.006967297922564568,0.020109585147677547,0.023954378886064425
IC3-IC11,-0.0491501080095329,0.06006063186816531,0.025796309331319767,-0.09167185904218192,0.0007908486641960949,-0.012686915141886565,-0.03513253236871055,0.07783053580403526,-0.01431507933043011
IC3-IC12,0.00387798210485841,-0.018234688914934963,-0.04308390605599386,0.03547313622354143,0.027160737786700393,-0.10440032953450275,0.0646684035591498,0.001358943112351575,-0.13670291410307547
IC3-IC13,0.021279579493510475,-0.007752565926517765,-0.003160063322197243,0.007862928841512467,0.1352796585268944,-0.08135241100173386,0.052035350671628615,0.02951112840017942,0.1044005000897622
