,Component_1,Component_2,Component_3,Component_4,Component_5,Component_6
lh_parstriangularis,-0.05939862747043332,0.11902822591138996,-0.013061656779125245,-0.071484309191983,-0.02983945772088197,-0.08078263114155035
lh_pericalcarine,0.17089796346927374,0.04425788168886201,-0.2226968331214982,-0.0576236016222472,-0.05749626172926043,0.1971961729069874
lh_postcentral,0.05417738286518594,0.1316195894494594,-0.043570600139442354,0.029836019622300675,0.12156255188762385,0.07928092116120392
lh_posteriorcingulate,-0.07869795765366502,0.12827215943471226,0.11713971327280384,0.20252338511400186,-0.1484393093738435,0.07300966127242624
lh_precentral,-0.001407493744509327,0.1353031724560716,-0.06868664465457425,0.01090922240350344,-0.261911806268079,0.04884221999726166
lh_precuneus,-0.07006866670838414,0.14355237764257628,-0.07887874913154887,-0.05525560557471116,0.005099382568518975,0.00779673586588354
lh_rostralanteriorcingulate,-0.18437668089398354,0.08762288022348941,0.044711066051199296,-0.09329738143639792,-0.28482238981973734,3.9317972354500394e-05
lh_rostralmiddlefrontal,-0.05185364882508304,0.15542555455509677,-0.05392216498188787,-0.026582921590772034,0.005883663934024781,-0.03852027924790047
lh_superiorfrontal,0.10513941666061859,0.17325337563115686,-0.029117794611006123,0.3249603259412452,0.14800077862453204,-0.3809703597892761
lh_superiorparietal,0.06138643757651173,0.11909241943948257,-0.09723950336424601,-0.0008399404641745192,0.18691671650162858,-0.006264430096365504
lh_superiortemporal,-0.033892582609313306,0.12561915467333054,-0.03164324948542371,-0.0640825133539621,0.09683243705956407,0.10080691431008337
lh_supramarginal,-0.09177315471051857,0.125341421986065,-0.06334444287913465,-0.09738691947285678,-0.09981257147257869,-0.030238659202822673
lh_frontalpole,-0.0007052094623962486,0.06538521110361385,-0.08241085347044957,-0.010901646769646453,-0.04670121438729181,0.13171134270309934
lh_temporalpole,0.01898999002246619,0.07835408233715928,-0.01189312710483426,0.09799281076631138,0.04481345937703456,0.22270812618137578
lh_transversetemporal,-0.03109014463851126,0.09619817701707116,0.007880962407900146,0.01579099573185468,-0.05760512234780704,-0.053503847878404974
lh_insula,-0.02994097974904038,0.07117255474151755,-0.023724708318810107,-0.16467215471358734,0.16726602843562638,-0.1311557885369141
rh_bankssts,-0.022565918964684815,0.08015031076521871,-0.003082544851591545,0.05790510425861228,0.10101946695415724,0.12773449667209477
rh_caudalanteriorcingulate,-0.044633185402741894,0.11674681195450241,0.17619538953553618,0.2852280795458899,-0.06363953224859868,-0.06275749320551016
rh_caudalmiddlefrontal,6.501689088913232e-05,0.12908187711790547,-0.04752203989425946,0.12130588146591635,-0.14116754745362636,0.08030488038196519
rh_cuneus,0.21347993593634712,0.055231420091945704,-0.27410619481378545,0.058753108265303104,-0.0073612492611966965,-0.025760872396362145
rh_entorhinal,0.007804941323406368,0.06489563452880961,-0.020162983742220933,0.10141362853501427,-0.029631051688144342,0.19999896994220434
rh_fusiform,-0.11006332359932991,0.1318187404798972,0.058179427139425276,-0.169255543815528,0.15576325312495526,0.07831831702271502
