,Component_1,Component_2,Component_3,Component_4,Component_5,Component_6
lh_inferiortemporal-rh_lateraloccipital,0.009337831548729478,0.021770357463797175,0.0046319184775686075,0.009656738178833736,0.0019249537099863614,-0.005021857545283342
lh_inferiortemporal-rh_lateralorbitofrontal,0.023566516611026878,0.008036346783927175,-0.00885544267924453,0.0068098385535163295,-0.0008629850259243697,0.009807769903213689
lh_inferiortemporal-rh_lingual,0.0005657006766665972,0.024258537736579617,0.03227979034069876,0.005452200200977343,0.005323807488201286,-0.01678256655973298
lh_inferiortemporal-rh_medialorbitofrontal,0.02978051219518491,-0.004830718529242064,0.009059066518610815,-0.029722601515849108,-0.017780388953019765,-0.0046202487179667325
lh_inferiortemporal-rh_middletemporal,0.04040028860063469,-0.016259603971714047,0.006451742258826414,-0.015879233600991208,-0.0016981761873734983,0.018846199857046733
lh_inferiortemporal-rh_parahippocampal,0.015234519806953312,-0.003005863747001293,0.018330248785864325,-0.02756765059182995,0.0030390597057764796,-0.021427567274377616
lh_inferiortemporal-rh_paracentral,0.03864280041334269,-0.010926235182844444,0.0021115135593177095,0.0010967034744363308,0.01461607689022247,0.018571480838040486
lh_inferiortemporal-rh_parsopercularis,0.0295139343125511,0.006672526549302216,-0.01061651480627902,0.0008782571904298208,0.005686992074021941,0.0062969499498743385
lh_inferiortemporal-rh_parsorbitalis,0.017332067410213432,0.015407886569425159,-0.020441102977229255,0.0013449022888446154,-0.024156003618800128,-0.04383490445206244
lh_inferiortemporal-rh_parstriangularis,0.017081156660337285,0.012800530325128527,-0.019962299697512603,0.0014030388627698377,0.006795569741118512,-0.027119208698862786
lh_inferiortemporal-rh_pericalcarine,-0.008814028106324237,0.018289656846697564,0.04150878474476557,0.008460726228904222,-0.004246161210488865,-0.006664986833340795
lh_inferiortemporal-rh_postcentral,0.0182223431149161,0.008270090952066935,0.003527505582606616,-0.015250884296916678,0.0022905158476902473,0.024001660845659183
lh_inferiortemporal-rh_posteriorcingulate,0.020037479943239716,0.01050162192028969,0.010913452266611058,-0.05888995132915773,0.016695861787204763,0.02139639630573341
lh_inferiortemporal-rh_precentral,0.03681732317110852,-0.004046721873338668,-0.014925951747777918,0.007727708359328446,0.013098504140058352,0.02642290428097725
lh_inferiortemporal-rh_precuneus,0.03349468640632148,-0.008724766509102058,0.013772465714197182,-0.017024233925518682,-0.004173558632265183,0.023811824145727443
lh_inferiortemporal-rh_rostralanteriorcingulate,0.04541447061727214,-0.010123041423515791,0.005628984033480762,-0.008725076183821902,-0.007794959192165693,-0.045505077831631234
lh_inferiortemporal-rh_rostralmiddlefrontal,0.004356204494453543,0.020951513375503703,-0.014526691150974026,-0.01323740079862815,0.007519443109353845,0.009307949117955298
lh_inferiortemporal-rh_superiorfrontal,0.040247798497028565,-0.010092565101771067,0.015817513335886754,-0.01816100426275524,-0.02364077983420211,0.0053764289670797764
lh_inferiortemporal-rh_superiorparietal,0.00548208910999895,0.027901780754367195,-0.009758467999430033,-0.018555203484948504,-0.03259280399285123,0.006353388917334108
lh_inferiortemporal-rh_superiortemporal,0.049337374407869186,-0.019479491412686012,0.023831149474134374,-0.019116789753015756,-0.014204276139958592,0.029530326129508993
lh_inferiortemporal-rh_supramarginal,0.03710012457013784,-0.007969265182397265,-0.008071070266369823,0.005614232569678211,0.03411276528656563,0.045221915036438104
lh_inferiortemporal-rh_frontalpole,0.028908019835380928,-0.0021382543424558753,0.013106525163726322,0.009788423844811071,-0.015320004785527619,-0.026901279065990987
lh_inferiortemporal-rh_temporalpole,0.017519548438453623,0.011555323132369521,0.02852567544662086,-0.03281332528779111,0.022964569475610555,-0.010776886759113714
lh_inferiortemporal-rh_transversetemporal,0.04018431887045051,-0.019179699395952984,0.01928808292412606,-0.0045626389100103405,0.0227949790409729,-0.017492879465665506
lh_inferiortemporal-rh_insula,0.037229887749778694,-0.006011964996078355,0.03179712085274711,-0.016066103031401775,-0.0017222106865094255,0.02461186688697359
lh_isthmuscingulate-lh_lateraloccipital,-0.002937231982275794,0.019022115536167786,-0.004214592360475837,-0.008756798288369217,0.021965261533691695,-0.0016311661883474976
lh_isthmuscingulate-lh_lateralorbitofrontal,-0.005267247719764534,0.02878989602614975,0.005157912032840989,-0.030755623636393916,0.022540524019463295,0.017571783337504136
lh_isthmuscingulate-lh_lingual,0.012998975099858963,0.002464203181908244,0.013817099170632102,0.01309223326225398,0.015204691128210804,-0.006439092921744562
lh_isthmuscingulate-lh_medialorbitofrontal,0.001917603966053639,0.02550207766920822,0.00011052183587164625,-0.007608820886308064,0.032976170869012784,0.022755900047247445
lh_isthmuscingulate-lh_middletemporal,-0.00479648110902909,0.03269821161754921,0.006897258632948836,-0.021684073453695944,0.018154185220033467,0.015377226793202237
lh_isthmuscingulate-lh_parahippocampal,-0.0028642921029682937,0.022579266282991332,0.0017941202681145245,-0.017255793263662167,0.024883354514030995,0.004780416643738963
lh_isthmuscingulate-lh_paracentral,0.0024388383564552356,0.023824634666340737,0.009846286551957182,-0.025836146141222805,0.005796147642953578,0.0175520194306686
lh_isthmuscingulate-lh_parsopercularis,-0.01459491009857752,0.040977039888525794,0.0019885839529575856,-0.028622745353682626,0.005737061959540522,0.012700318604075708
lh_isthmuscingulate-lh_parsorbitalis,-0.0043454995320187425,0.04010121538562607,-0.0062247471997120525,-0.005444184810607764,0.009929907003185842,0.0034232057293826002
lh_isthmuscingulate-lh_parstriangularis,-0.008904965377491785,0.03363953196443114,0.006487044369002068,-0.02815574547087147,0.010107079657859336,-0.0013290560585029366
lh_isthmuscingulate-lh_pericalcarine,0.0031107054502392886,0.0021385460179038657,0.01696098860728795,0.03157783552668435,-0.016978212239300343,-0.018262386901328555
lh_isthmuscingulate-lh_postcentral,0.004488680082878306,0.014511691396632309,0.015426870269764165,-0.0272373715555451,0.001269033306427449,0.015268721693297104
lh_isthmuscingulate-lh_posteriorcingulate,0.03502628777638936,-0.023837808745644076,0.04065012420883699,-0.03374399666374454,-0.027114008100272886,-0.009821522830917516
lh_isthmuscingulate-lh_precentral,-0.01351987422587497,0.03753516305945479,0.011753300320542271,-0.04452931705770282,-0.0062367966863217045,0.00697230633553303
lh_isthmuscingulate-lh_precuneus,-0.01001336758476746,0.03197962890007097,0.00022783521444463576,-0.027519652132075422,0.01510670699009444,0.012200727242101868
lh_isthmuscingulate-lh_rostralanteriorcingulate,0.01999055699410196,0.005770803697216216,0.00404350864778737,-0.009009402352762428,0.0027335436741680653,-0.018090204243500753
lh_isthmuscingulate-lh_rostralmiddlefrontal,-0.01678099703667129,0.035583894563615465,0.010117281351788845,-0.033838835131051265,0.010931887785845007,-0.0010003884486346952
lh_isthmuscingulate-lh_superiorfrontal,-0.016149271842258943,0.0427052688134835,0.017896460005901334,-0.03043055522026502,0.009882751650809332,0.005636967942355813
lh_isthmuscingulate-lh_superiorparietal,-0.02106643854256157,0.04960796963067717,-0.021012301015732447,-0.012219706168917039,0.008879956920892317,0.01723798992096234
lh_isthmuscingulate-lh_superiortemporal,-0.004454881068588421,0.034316122271208754,0.014377202631341606,-0.03724971343797179,-0.006758421290205402,0.015450970237113316
lh_isthmuscingulate-lh_supramarginal,-0.013490952996094374,0.03695007336260621,0.0049158909994708256,-0.026624619549405707,0.01865577769813241,0.01863525332554512
lh_isthmuscingulate-lh_frontalpole,0.01222378133454105,0.01836989927025902,0.005580274912744356,0.018845155384589054,0.011204963885948544,-0.003152284168974801
lh_isthmuscingulate-lh_temporalpole,0.003457559599512456,0.03591773491978065,0.013726143514258557,-0.022082395184539107,0.04953759724002171,-0.0006630404026510185
lh_isthmuscingulate-lh_transversetemporal,0.021092035849592912,0.0013571733147298881,0.010228171759270812,-0.02998356576188944,0.003350699039534418,-0.00020248834979955476
lh_isthmuscingulate-lh_insula,0.011417509666594489,0.01881311900500365,0.010977296110848155,-0.0335576736856056,-0.015619589003917484,-0.01484256523466188
lh_isthmuscingulate-rh_bankssts,0.0029809194033810845,0.02223243725207271,0.006349967231464072,-0.021070569203368476,-0.013306104221523238,0.033277770346550856
lh_isthmuscingulate-rh_caudalanteriorcingulate,0.020840338573568328,-0.013617279165824784,0.010252591386156196,-0.03058191894746411,-0.00624949105743783,-0.009942716843634361
lh_isthmuscingulate-rh_caudalmiddlefrontal,-0.020210487602665823,0.04804128036613744,-0.00429304379222267,-0.02073398065983062,0.00671705445192265,0.002198826138750066
lh_isthmuscingulate-rh_cuneus,0.014668934164434943,-0.006682092716856003,0.04327533750134213,0.007623829006913865,0.033730350897448566,0.01957668709630103
lh_isthmuscingulate-rh_entorhinal,0.006764482141143145,0.014452446742785223,0.023961434177712453,-0.0273843024140752,0.016874572195066974,-0.02108062447588833
lh_isthmuscingulate-rh_fusiform,-0.0028608655007291484,0.02886313488784135,0.0003809534561349803,-0.0272421981278093,0.011167298973247796,0.018240458679004312
lh_isthmuscingulate-rh_inferiorparietal,-0.00992989197195579,0.03110429871294185,0.009695009771301692,-0.03878695053094192,0.004449692764363764,0.005788912672638725
lh_isthmuscingulate-rh_inferiortemporal,-0.009175502493914236,0.034189906629344964,0.00454102655687805,-0.032109432699983155,0.006257484378030336,0.017814677329747872
lh_isthmuscingulate-rh_isthmuscingulate,0.007984311567683028,0.0009948015682042055,-0.007071559749028264,0.02553204412299001,0.012132674201010604,0.011621635721687458
lh_isthmuscingulate-rh_lateraloccipital,0.0018174216452220065,0.018064930981579408,-0.003675649128578204,-0.006051650446452713,0.030999681484521844,0.012929555343367346
lh_isthmuscingulate-rh_lateralorbitofrontal,-1.7954604333423512e-05,0.024588887965872216,0.004021736165433507,-0.027285679395668002,0.013825176221880956,0.022856309080864
lh_isthmuscingulate-rh_lingual,0.013385135994126104,-0.0021805047885748107,0.025129764293071136,-0.0025653644627891274,0.002659536697232554,-0.02622152760296265
lh_isthmuscingulate-rh_medialorbitofrontal,0.003467056712199293,0.03044477179551633,-0.004454118061460468,-0.0042089286010611755,0.034340168973384155,0.03590568517977765
lh_isthmuscingulate-rh_middletemporal,-0.003392441699764584,0.03371592052543537,0.0013247335677133798,-0.015223136199471805,0.02305862537574776,0.04219215806464231
lh_isthmuscingulate-rh_parahippocampal,0.0028765290517007705,0.011376657961512906,0.01437350632307642,-0.028875392372066582,0.011964502299205673,0.007626168275537824
lh_isthmuscingulate-rh_paracentral,0.003944392151944183,0.021525369130700543,0.010053453242662434,-0.028873605803593647,0.00913333342917113,0.030043287917336885
lh_isthmuscingulate-rh_parsopercularis,-0.015683467188018548,0.04472740753761778,-0.009561763403164992,-0.020536789394046708,0.0014542878353064723,0.012621131440623047
lh_isthmuscingulate-rh_parsorbitalis,-0.005715848870859469,0.04126302044712079,-0.010342074210521534,-0.0030137308515770693,0.01601575159623117,0.013917005697867024
lh_isthmuscingulate-rh_parstriangularis,-0.01589033965231567,0.04204180666314938,-0.007595009349349582,-0.015290053640738837,0.020055416574565353,0.01043623258885398
lh_isthmuscingulate-rh_pericalcarine,0.003309626839343062,-0.0043870524578335365,0.030518110425275437,0.022851058346664618,-0.014392839899321143,-0.024213919625529094
lh_isthmuscingulate-rh_postcentral,0.0030621765822714856,0.021946627411772106,-0.001291539839539823,-0.00781008476990427,0.016040929841739028,0.030137527391747486
lh_isthmuscingulate-rh_posteriorcingulate,0.029586160022677062,-0.017017101331782643,0.024052369796737395,-0.017775302305268286,-0.007149148780586318,0.007056570965245739
lh_isthmuscingulate-rh_precentral,-0.013650965574050357,0.04157326276474471,0.0038626595151272547,-0.035425601850403554,-0.0068293700860954576,0.012444295313353608
lh_isthmuscingulate-rh_precuneus,-0.0042247137271834,0.0243322231543837,0.010044108325197669,-0.0409170172659286,0.00038868747311655627,0.00036663638218612535
lh_isthmuscingulate-rh_rostralanteriorcingulate,0.017912247621791104,-0.0034223072375447307,0.0025883491177714443,-0.0008811080308610719,0.00741660128603619,-0.007221347971221557
lh_isthmuscingulate-rh_rostralmiddlefrontal,-0.018157921991253642,0.03952098314045878,0.000759366362197409,-0.024337720359095857,0.015873392942711954,0.00429694126298691
lh_isthmuscingulate-rh_superiorfrontal,-0.012616217560806837,0.03862784901741036,0.01689784128273056,-0.029715356891789085,0.007829373539456884,0.015778447672308717
lh_isthmuscingulate-rh_superiorparietal,-0.017477553969488448,0.04743377787618676,-0.01880939774923369,-0.013129884420251009,0.0021941715884320413,0.010610596857104328
lh_isthmuscingulate-rh_superiortemporal,-0.005274161023384479,0.041044120464324436,0.002838037592887055,-0.026062054679807004,-0.004772756398396335,0.03078009662654558
lh_isthmuscingulate-rh_supramarginal,-0.013139114885736979,0.0406720006855785,6.940678231998693e-05,-0.02418140564989554,0.013970257291071472,0.01695019584655709
lh_isthmuscingulate-rh_frontalpole,0.015991604871649818,0.01581517034252508,0.004086557104085216,0.022754144205903853,0.023603371162814683,0.010835703201853543
lh_isthmuscingulate-rh_temporalpole,0.0014196652904042574,0.03576955293082515,0.016672045208674942,-0.02536404475605439,0.04646573524371836,0.006193740538136652
lh_isthmuscingulate-rh_transversetemporal,0.02291496633846872,-0.0004219148313574951,0.01092588891038747,-0.036337001182712124,-0.0007894932765627374,-0.00965480010122971
lh_isthmuscingulate-rh_insula,0.024179805448430486,0.0047299684099238095,0.02609053553978674,-0.038016647066188125,-0.01680892817192813,0.005666817063880578
lh_lateraloccipital-lh_lateralorbitofrontal,0.016196091970994256,0.01334104177969411,0.017188584274877808,0.007335346098391517,-0.0026998504547224036,0.019932883351039515
lh_lateraloccipital-lh_lingual,0.002792495502309384,0.010478422769834642,0.02814442217575845,-0.009384780161107689,0.0015653360738081613,-0.002089908255932111
lh_lateraloccipital-lh_medialorbitofrontal,0.012386824217475377,0.026163714966964544,-0.01707091977078573,0.03746153987018316,0.007842554448250718,-0.008078558167746205
lh_lateraloccipital-lh_middletemporal,-0.0013647232719957425,0.03635802147705615,0.012780478541634692,-0.003420842872451883,-0.042204122874337745,-0.02648374056428029
lh_lateraloccipital-lh_parahippocampal,0.014355920522545543,0.009903470157991303,0.0016325355530957286,0.004279409841332304,0.006994684491252181,-0.015088440237201597
lh_lateraloccipital-lh_paracentral,0.007826614695578035,0.020530297602681415,0.01301159502621367,0.0045913900696578636,0.001565859474098039,0.03276345785581439
lh_lateraloccipital-lh_parsopercularis,-0.0021079849982041953,0.024461706093257443,0.02936269491937273,-0.004501397273673515,-0.03767313571483823,-0.0052611367187140184
lh_lateraloccipital-lh_parsorbitalis,0.009495457793067163,0.02589218632706102,0.0053217741394512704,0.017227064671123837,-0.02686120865768257,-0.009694647993235989
lh_lateraloccipital-lh_parstriangularis,0.010483784762191417,0.014573477866654513,0.030809517100161252,0.0076983702587262075,-0.01724336812267115,0.016260350248927555
lh_lateraloccipital-lh_pericalcarine,-0.004103173682843509,0.016044188987311053,0.016221699109990405,0.019634258688518192,-0.011753642152725945,-0.002916277812005004
lh_lateraloccipital-lh_postcentral,0.02696431336134355,-0.003637411312946355,0.03270208118999858,-0.03596909495767884,-0.03792380663197857,0.034451779845717484
lh_lateraloccipital-lh_posteriorcingulate,0.03143415640628614,-0.0009319222203182483,0.019630660254852245,-0.026392961462286733,0.004913497429820401,0.007551809775703117
lh_lateraloccipital-lh_precentral,-0.014512451179635318,0.03845003254175716,0.02036813031484348,-0.0028400185141537657,-0.012194259597814646,-0.0006353162284339965
lh_lateraloccipital-lh_precuneus,0.0057768509032531945,0.022848909315401254,0.012240164596138046,0.016563263449334602,-0.0081121194841734,-0.005365844289023705
lh_lateraloccipital-lh_rostralanteriorcingulate,0.03476135704445763,0.011149702170166292,-0.010344752118622976,0.030247934824898997,0.020054026471634713,-0.025959320613581176
lh_lateraloccipital-lh_rostralmiddlefrontal,0.010222588462133702,0.018581900193996248,0.03317181688408706,0.024025434814498765,-0.009607942839960568,-0.013011042848968713
lh_lateraloccipital-lh_superiorfrontal,-0.0030392289041806467,0.03351233575976995,0.028953467184665228,0.022669029239992606,-0.0028739689395893713,-0.01640599188155174
lh_lateraloccipital-lh_superiorparietal,0.014931571962055263,0.012962331403748955,0.029257645003069335,-0.006141937794142998,-0.030322640114981165,0.005154701295770175
lh_lateraloccipital-lh_superiortemporal,-0.007153307442174379,0.043209281948640536,0.008214234340120204,0.0022510899807516456,-0.05402073695440844,-0.009597145954444592
lh_lateraloccipital-lh_supramarginal,0.0022541948436156783,0.026176286035874168,0.028490995707400386,0.013029134786005614,-0.021185508154347665,-0.008586419473822006
lh_lateraloccipital-lh_frontalpole,0.026283952283835905,-0.0010582124123095496,0.017263684393437218,0.030068340911763674,-0.029369633566016084,-0.02843169951506187
