,Component_1,Component_2,Component_3,Component_4,Component_5
IC2-IC9,0.05238051050581718,0.022255705267423077,-0.019824114201219,0.012020125566179199,-0.1408037002326178
IC2-IC10,0.03202036325555662,-0.02543927084753628,-0.012075005080473458,0.11628080933854794,-0.0876046553857899
IC2-IC11,0.017459138247242587,0.05879576564030238,-0.05047423083449705,-0.006546803776805634,-0.015657156862148136
IC2-IC12,0.05027626233550697,0.041601182143284225,0.06580614481662439,-0.0052744044039529335,-0.02752568635872677
IC2-IC13,-0.0519374375563592,0.030815524016659355,0.14975570582435843,0.0077501169568887935,0.05538986967250269
IC2-IC14,0.13064717780646204,0.04579652457890672,0.014529317926701894,0.071939756889411,-0.13236068771282206
IC2-IC15,0.12101644511826998,-0.05181257549320601,-0.021991035173970313,0.1732265031822202,-0.021832784499638304
IC2-IC16,-0.031181885134265532,0.010345291756397722,-0.07053956942688559,0.08835645510860622,-0.03530420576704046
IC2-IC17,-0.08773917050631302,0.04394885129415763,0.16064591150570223,0.1524737283847875,0.03431701456512798
IC2-IC18,0.08091466328185819,0.053622235292367475,-0.015775249998644384,0.03753318606522556,-0.060266930628449886
IC2-IC19,0.06554449414772104,-0.040710253956361984,0.0396058729136112,-0.07554861615176381,-0.005496957389038308
IC2-IC20,0.001263709395934345,-0.09035402589954974,0.05279005799889118,0.09739627760835466,-0.03380900778103585
IC2-IC21,0.005106789207070621,0.06290101222742482,0.07712781947909324,0.006527668502568292,0.03204128533661411
IC3-IC4,-0.016918980834757017,0.03932319866527994,0.12791311123032184,0.07798192756127717,-0.055768500974190616
IC3-IC5,0.09279157921258696,-0.020509390767163554,0.006285690055298312,-0.02511469195662684,-0.006955790396666015
IC3-IC6,-0.024032372786785102,0.03378911417242229,0.05654914845604044,0.08942538103739839,0.07252647083048758
IC3-IC7,-0.033828208446990075,0.011253480146247026,0.006786622243204738,0.05318236163252399,-0.06945006283364201
IC3-IC8,0.042972898267909225,0.033753790156619744,0.03516872223705548,0.11588387090407601,-0.055237938327561006
IC3-IC9,0.004955834813452905,0.11557559541062865,-0.04992977160563545,-0.01173738092543062,0.051266405607160025
IC3-IC10,0.029012751124356098,-0.048439602637870505,-0.020071125897860108,-0.11248443638244125,0.04774299835572863
IC3-IC11,-0.04639596042618273,-0.04361662827555683,0.04100502453678256,-0.05832057821126365,0.03399189163077847
IC3-IC12,-0.039771856518096775,0.060902763224454794,0.08715635817212561,0.05677711980724973,0.017963289042860334
IC3-IC13,0.05041045357968098,0.04482779327422803,0.07024779446760063,0.051140815731540466,-0.10700118733065406
IC3-IC14,-0.08230805586854208,0.023194106554010434,0.07484818966119838,-0.12643627459969406,0.12039905290124821
IC3-IC15,-0.059004482794659606,0.028302844109191844,0.05576971113836306,0.02088483865244577,0.14963622142123212
IC3-IC16,-0.014930431752341754,-0.03481421448775575,0.06612152554716014,-0.04374295908451178,0.10080733929533299
IC3-IC17,0.05912683686198295,0.01113004857449874,-0.035945581960326434,0.12096942047098577,0.10281849100234332
IC3-IC18,-0.007627466647833499,0.1083747363859773,0.050846327201230404,0.014498078025881486,0.04471699152931511
IC3-IC19,-0.05604136047035213,-0.1477218937576501,0.06231779987069451,0.00842550488503682,-0.020106514007598483
IC3-IC20,0.019958951447539928,-0.03459202385317474,-0.06087417692226222,-0.014056293815853865,-0.03654745358027934
IC3-IC21,0.006677350551087549,-0.09349056265082233,-0.0033364068906499515,0.017479843074685423,-0.048993360363251325
