,Component_1,Component_2,Component_3,Component_4,Component_5,Component_6,Component_7,Component_8,Component_9
IC1-IC14,0.09203680820077847,0.03787008652155437,0.03758871971527339,0.01948648317033189,0.008504881354589952,-0.030430518544966083,0.03791242234080073,-0.027226677327987177,0.10876223993044336
IC1-IC15,-0.05854222817353005,0.14571027756078042,0.010086619602264476,-0.06149395228933778,0.09037043606292317,-0.05640244641698319,0.04965042705915335,0.035598057097215745,-0.026209021416705634
IC1-IC16,0.059002195793640654,0.024163040907997913,0.012505813803089752,0.013234058613885342,-0.0013624538342414797,-0.11518132167741206,0.0717095515087539,-0.07801382038425814,-0.04014378602888102
IC1-IC17,0.030260690639709223,0.04326790519480228,-0.002431642838225449,-0.1169285546358884,-0.05665986716174987,-0.01257194948156869,0.10020097273311641,-0.043092163224737336,-0.04048570119661011
IC1-IC18,0.010273058679984678,-0.17109946070739485,-0.07562121876788254,0.009632442787214339,0.08827976549685962,-0.04598929792350332,-0.18739239357202006,-0.09190328744563345,-0.07017970060976585
IC1-IC19,-0.07113788979481767,-0.10102510274070833,-0.01884497976682922,-0.02967507006980083,0.037857610380217024,-0.03755960032915595,0.014710638204328467,-0.11296120108592991,-0.01872040835063998
IC1-IC20,-0.06263178359120633,0.06586563301947398,-0.05615048831209758,-0.046229741146946626,0.04311065003668929,-0.028058089011667123,0.07752586623979457,0.041719641375540184,-0.022825083330434176
IC1-IC21,0.026235570750322276,0.004595452363858086,-2.0675168358368128e-05,0.0003515804256182558,-0.027483172860072094,-0.07322793383602622,0.03701341250942124,-0.06251927833183567,-0.021988955439879845
IC2-IC3,-0.038434744705860356,-0.09115405492416448,-0.07106141044969695,0.01625536951153232,0.04822876280022578,0.02901540418909228,-0.07974570394368159,-0.013716739051107011,-0.06176780857220248
IC2-IC4,0.01755449117721013,0.05560360779465068,-0.043779993169535854,-0.1067973907779484,0.07537730560841732,0.03932750956164385,0.012246160528539902,0.04615682482634963,0.011078400935292101
IC2-IC5,0.050157382902993305,-0.08519508274152643,-0.06597898869496935,-0.018306350321400065,-0.06853508434700015,-0.07638337867126554,0.20469135089946686,-0.16799412269532074,-0.07217594361372902
IC2-IC6,-0.032838739516850894,0.12035386012761695,-0.037890229236883025,-0.04624020985075063,0.09757917676485607,0.029686914190336724,0.04084340501836121,-0.11100811869434372,-0.07626848186891629
IC2-IC7,0.026506788135666284,-0.10898842328989758,0.011548246168085061,0.17141506338235796,-0.021954746789475545,0.02317419646837709,0.14831206076978193,0.02298041448185264,-0.1376406497701974
IC2-IC8,0.040442983000635556,0.0736971156961551,-0.01878169089815749,-0.09297179355508409,0.05982131710655721,-0.0313432466049311,-0.03621549464335136,-0.08949725874031526,-0.06008903985813476
IC2-IC9,0.020015932441531548,0.038090059984213706,-0.04365266907787029,-0.14931053880476738,-0.015464105914379028,-0.02245153313287412,-0.04856963325327297,-0.08538811481494303,-0.07861927714775502
IC2-IC10,-0.03249999877198133,0.05058102082538469,-0.031394769882610835,-0.02683684801929992,0.10296890611237669,0.025170743639345378,-0.05012926780764581,0.004543705061908198,0.047733128701903514
IC2-IC11,-0.04857733665803769,-0.06426520745701667,0.04685598948671075,-0.04359230914444172,0.00882614575461196,0.038405790334460586,0.07695212436676224,-0.04120727192673992,-0.10279759917222998
IC2-IC12,-0.11882890090663917,0.09782046026058677,-0.020846886550515125,-0.13445909881270193,0.04000885389591314,-0.027078244755238352,0.13812404863138042,0.07040706307641754,-0.01949997145836201
IC2-IC13,-0.04146356409733536,0.003504834294745854,-0.06866764233740066,-0.00158396043905945,0.0458416194959167,-0.04397364134525696,0.07495074023842375,0.021669953865479312,0.0074570850643099285
