,Component_1,Component_2,Component_3,Component_4,Component_5,Component_6
lh_postcentral,-0.010805869025695329,0.12363736872977306,-0.07697719260070146,0.02174967476983261,0.186391625095378,0.03548405253176809
lh_posteriorcingulate,-0.09050084095450936,0.08801902044653513,0.15585853263507185,0.18569316115661388,-0.10263025585288578,0.12375507386587833
lh_precentral,-0.028608521408877378,0.14524574062976672,-0.03565359629055795,0.029861999912239142,-0.21992811656750982,0.0026834757581858286
lh_precuneus,-0.10063838914834533,0.13925293444704526,-0.03673913286617088,-0.07522785386777936,0.02194828392157966,0.024811047975088412
lh_rostralanteriorcingulate,-0.2201116744663728,0.01619873806115794,0.014657621938686171,-0.06655425082523274,-0.21705026548299766,0.0022224053007723127
lh_rostralmiddlefrontal,-0.07805797853373561,0.15450853753994592,-0.00025458393856182696,-0.05617033738998539,-0.023724447047555174,0.0028428426719020487
lh_superiorfrontal,0.06244313426701801,0.1923959827575709,-0.007289680240605754,0.32864019044496484,0.060585107920690114,-0.2673414983036059
lh_superiorparietal,0.027585050373702298,0.14692786896212076,-0.06402005981959998,-0.04438139538851152,0.21281049054890874,0.02649319748612294
lh_superiortemporal,-0.05035475539723361,0.1272891774284502,0.017691402329093393,-0.052401283866096375,0.03866005656007547,0.058158612813075786
lh_supramarginal,-0.11607148862402043,0.11262616384874952,-0.03743750587683651,-0.03788207399585616,-0.036876265390127144,-0.1258991526080248
lh_frontalpole,-0.030481941254633025,0.06853186314861831,-0.09463113316758621,0.024215916863971187,-0.05235675763966361,0.10333265926328777
lh_temporalpole,0.011480083416145682,0.08931937733914251,0.02846161379417129,0.08626590289991753,0.01601035042909605,0.17010631888251776
lh_transversetemporal,-0.07363013522734954,0.06774682776715452,-0.013876739368961891,-0.002618347089503293,-0.07700859752284149,-0.03294668545866501
lh_insula,-0.03535836796263655,0.07647381780412497,0.029470913788359913,-0.25970985519854095,0.14445893086226233,-0.08721446398923265
rh_bankssts,-0.048878992895179954,0.06473675751111839,-0.011946917381170374,0.0749069802828554,0.05812126611852758,0.11322393489042325
rh_caudalanteriorcingulate,-0.046544811948634586,0.07715721481426557,0.21782906434648133,0.26472630229756233,-0.07895422893478987,-0.08423414452170078
rh_caudalmiddlefrontal,-0.029305454757429263,0.13335866758449155,-0.01408100397379485,0.09866015906212394,-0.11695769961795702,0.09209253664200293
rh_cuneus,0.16438567024033143,0.13947735925565616,-0.2994277339849714,0.1362089957129189,0.039713078614037035,-0.11305177147617468
rh_entorhinal,-0.020855494502101352,0.05911694381899457,-0.02472255644270598,0.05838904019644505,0.025863557381249718,0.21761726595315975
rh_fusiform,-0.13121916641379852,0.09208975566895203,0.08305457138716701,-0.13996126881266066,0.14529269509352358,0.06472684215898818
