,Component_1,Component_2,Component_3,Component_4,Component_5,Component_6,Component_7
lh_bankssts-rh_parsopercularis,0.0010859403999600708,-0.008188685148776386,0.017384948643183226,-0.005434135103564296,-4.64207131633039e-05,0.004474861158861603,-0.02897440531359923
lh_bankssts-rh_parsorbitalis,0.0076418860606953095,-0.007460767270204134,0.02326324950792202,-0.010002366653225295,0.007628103435432353,0.014178237161808863,-0.03232238995787166
lh_bankssts-rh_parstriangularis,-0.0021724369580740283,-0.016637911850655468,0.015161135852774623,-0.0080196860089804,0.014817858664762883,0.0051190923226986694,-0.028734293490899728
lh_bankssts-rh_pericalcarine,0.030662618060295153,-0.02685816333407799,-0.030121666208474177,-0.0066877024002724265,0.020296005253540715,-0.0001576093869632632,0.013367770417393475
lh_bankssts-rh_postcentral,-0.0013923324367367327,-0.03078221901900165,-0.0012278913827378822,-0.005405098866818255,0.010416306973254526,-0.004625014230249865,-0.003800858413132093
lh_bankssts-rh_posteriorcingulate,0.005089137467452518,0.00220945818449032,0.019714409871196298,-0.02837264178267556,0.05581470147320114,-0.009221587331375248,-0.00863068648009071
lh_bankssts-rh_precentral,-0.009945722676672306,-0.021971103965063465,0.01075401576562762,-0.0032638972843784834,0.020809408501068466,0.01862623530998547,-0.01576766983370066
lh_bankssts-rh_precuneus,-0.005118578359926818,-0.023636653108949766,0.010368872546210217,-0.003610227744520555,0.01656116877779516,0.013338708176239989,-0.02167575585956987
lh_bankssts-rh_rostralanteriorcingulate,-0.010604249742434521,-0.013021288168453979,0.03405069297511522,0.013643598125007391,-0.005620265011146454,-0.004595467210406459,-0.03599358319073795
lh_bankssts-rh_rostralmiddlefrontal,0.004659355441352158,-0.012885187820763394,0.011893712840708025,-0.013628277718999384,0.016682891687831266,0.01076237559486274,-0.030620329660894376
lh_bankssts-rh_superiorfrontal,0.009766011894331794,-0.007054981158725627,0.023602663313130195,-0.010889655196678883,0.008482964791613817,0.01796866153050329,-0.04513930613560024
lh_bankssts-rh_superiorparietal,0.003605052678836714,-0.018400041689613258,0.010148091932539412,0.0017056715477085493,0.006513107937956591,0.0024614957636537125,-0.007740128455985707
lh_bankssts-rh_superiortemporal,0.004606713757183624,-0.007824164602320596,0.02101307312003096,-0.015036342313225662,-0.007445113901396399,0.008057901881234269,-0.04050878699471908
