,Component_1,Component_2,Component_3,Component_4,Component_5,Component_6,Component_7,Component_8,Component_9,Component_10
lh_bankssts-lh_superiorfrontal,-0.002559283584077521,0.027183362625279615,-0.009442078562520051,-0.002159393300865505,-0.024550769208662025,0.007897860076683926,-0.013792331893260337,-0.04439689492390451,0.008189456932785243,0.009064451977165062
lh_bankssts-lh_superiorparietal,-0.0076582399496321904,0.015276341102242512,-0.011054199959353098,0.009953965309424774,-0.02384549457206107,0.0022339617374593384,-0.005292221330253629,-0.008876629638184383,0.021038360529167584,0.03441048359370466
lh_bankssts-lh_superiortemporal,-0.014690351152000415,0.007114408110349512,-0.021260021444639496,-0.011022867586405036,-0.03640430454050009,-0.005040504435191141,-0.013023997888347762,-0.03654092560063835,0.011813978893026248,-0.0046238290413320015
lh_bankssts-lh_supramarginal,-0.015469233622369846,0.012480468777062135,-0.012966097518507198,0.004207188643359382,-0.007651348479380832,0.019244660415649432,-0.004006533443839417,-0.01928002069353639,0.031557432642314066,0.02644860192670003
lh_bankssts-lh_frontalpole,-0.011940917480306875,0.00986971920286977,-0.019220217870384103,-0.0011138963909865876,-0.02422041356390586,0.014432831732690542,-0.005695024435177193,-0.038446882032618056,0.019142483222426225,0.012709583096310989
lh_bankssts-lh_temporalpole,-0.0069601255160228965,0.02055978144721013,-0.019924243880771787,-0.0038625335935115177,-0.0038398721571108797,0.01865722925665547,0.0020199035791296136,-0.04045019089640483,0.016216803634923237,-0.008388392744855472
lh_bankssts-lh_transversetemporal,-0.009137301540426248,0.003697725997757125,-0.010539486339627936,-0.012671146882014503,-0.02062586116549097,-0.023746332512252367,-0.02133785864036846,-0.009604989640092501,0.004028527480459658,-0.0012039881302875117
lh_bankssts-lh_insula,-0.011337520533307678,-0.00734088242066138,-0.005906747772304695,-0.0025216687599964745,-0.015208649434116867,-0.02338485927765301,0.012393530550969511,0.017165344208108883,-0.012649826983140539,0.01251573122031307
lh_bankssts-rh_bankssts,-0.00803860263086387,0.0011302190470275151,-0.0034606869006078233,-0.010130495286574677,-0.010834823673522228,0.0052404035703675165,-0.004271394394172456,0.010407630919022614,0.004626905180689697,0.003563782751201169
lh_bankssts-rh_caudalanteriorcingulate,0.0003524338192472419,0.04885598394441105,0.0021691541766558145,-0.03242716715892415,0.029369853608624902,0.007827324442822022,0.023596654366793233,-0.02135874274798085,-0.018961861962452944,-0.008588353450220408
