,Component_1,Component_2,Component_3,Component_4,Component_5,Component_6,Component_7,Component_8,Component_9
IC1-IC11,0.006389659307146113,0.02946346843168214,0.046590434303621545,-0.1511365441171463,0.11674066549344765,-0.030926029023041778,0.10682378063346944,-0.01493293859601162,-0.00023766156706833864
IC1-IC12,-0.014369204904555859,0.01463677887757024,-0.036916241018227616,0.07996425420628821,0.005022927359579392,0.15899064839463276,-0.00959570116702036,0.09205355509449305,0.007864270188740806
IC1-IC13,0.04205862878394012,-0.02272740288680981,-0.07750188372043904,0.03398103752786573,0.09039806569829789,0.05635571508569838,0.0017602246507260157,-0.00665904469454333,0.13812395349966747
IC1-IC14,0.043562476565295154,0.0069799568713945406,0.030349247068632193,0.062411879355637974,0.0006815036063970395,0.15025470668893226,0.04224839313715642,-0.017639741041338947,0.02908570503637914
IC1-IC15,-0.02439877484573553,0.02508761990016333,0.04970156195185365,-0.133695721182108,0.1315915755442603,0.0007556400109193247,-0.007812255382660189,0.09710173204526916,0.014147489096615357
IC1-IC16,0.005685657730401426,-0.02307389455777163,-0.054878813176611946,-0.02132474703550695,0.0028057672192916194,0.06142106249883722,0.07038649741623043,-0.05691991688450925,-0.029012838658931367
IC1-IC17,0.057790549155275255,-0.01499722745206163,0.011021734382197054,-0.1159238706879064,-0.0328425704523388,-0.01562247563863328,0.07863261162871218,0.06184994084064392,0.02007806679436897
IC1-IC18,-0.008514245106063361,-0.06803310833609193,-0.10145319362945676,0.12618270551906977,0.06992738111156538,0.06304075956359452,-0.0528510879135057,-0.16348912702751575,0.03868510982450653
IC1-IC19,-0.0013935271679967572,-0.047137247785898305,-0.01624074872409165,0.010771469116032266,0.007547409478116255,0.09474499541648249,0.03449919362727704,0.0028243494502344646,-0.05407242327715713
IC1-IC20,-0.027395884118421882,0.03996367104499421,-0.005205409210750407,-0.09353568439997043,0.07160513997974051,0.03150442097683849,0.025755265764242266,0.026140766448569015,-0.08050985724449092
IC1-IC21,0.019866897021422077,0.011841968631327372,0.010546389380745473,0.032219065892369725,-0.0029816422595077036,0.09491796568459114,0.045906576398781485,-0.003740741203675455,-0.014815442901212667
IC2-IC3,-0.042336520795144876,-0.01009287541497903,-0.04978178761550157,0.06981430041534546,0.03659995553273906,0.04037985536782508,-0.049455882433978735,-0.03857573155727698,-0.04858263527332752
IC2-IC4,0.035707775217147915,-0.008764691644481447,-0.026589937661671156,-0.1204071243572465,0.08112334199383513,-0.05854705495812643,0.0005263847515435359,-0.07422660651164088,0.01913178994590148
