,Component_1,Component_2,Component_3,Component_4,Component_5
lh_rostralmiddlefrontal,0.09544591427970457,-0.13655684400129062,0.05452269573323022,0.04971062632648573,0.014813006765545592
lh_superiorfrontal,0.17540840245975267,-0.07094531130684893,0.0037721294107487258,0.16422028494893215,0.041108735424268426
lh_superiorparietal,0.12287648455598672,-0.08508197448940451,-0.02947511459328569,-0.22193179267852803,0.0002802520769367154
lh_superiortemporal,0.07890875411636818,-0.10620803966482358,0.021294223214678477,0.1181357171541681,-0.0478980060426444
lh_supramarginal,0.0517798741563261,-0.14540408011201483,0.023049176059831544,0.119801640393185,0.0031542552164980932
lh_frontalpole,0.0712929323831896,-0.06837412674403631,-0.07333291798798164,0.20535601923227859,-0.2861447993792228
lh_temporalpole,0.09960759764931756,-0.01656801380201142,0.07308677793330588,0.08244206681535862,0.05047916156176853
lh_transversetemporal,-0.02071562247202175,-0.1268083435163982,-0.04994776884146179,0.008726603252640653,-0.1342884973571562
lh_insula,0.063779724473335,-0.047339074997376614,0.07192598943415268,-0.09151118370181366,0.040141372288301065
rh_bankssts,0.0359648839972391,-0.07069661868388054,0.0009650945586428627,0.17122695317726008,-0.11044798718987131
rh_caudalanteriorcingulate,-0.05745338841787097,-0.08427480243561106,0.1518743650863414,-0.05100026136372967,0.1753507718286512
rh_caudalmiddlefrontal,0.05840702993994837,-0.1256720407780992,-0.02313426570004169,-0.0033110236416452744,0.0069038507872876366
rh_cuneus,0.21182472669378122,-0.030663898867356727,-0.3053991881264488,0.05035796060267708,0.02560122185624038
rh_entorhinal,0.058952098365045245,-0.04089495243086077,-0.0023301311860044,0.19777761940615493,0.1257012923251296
rh_fusiform,-0.0061831420494739275,-0.13390436610981055,0.12409645232371229,-0.10651265045686692,0.04775813685122529
rh_inferiorparietal,0.045389452378332834,-0.1764399535103926,0.030022769948227005,0.07134514929998483,0.01982978956970078
rh_inferiortemporal,-0.0304571412200463,-0.16354969370854083,0.13830825200174873,-0.10288516882303857,-0.021742270781622858
rh_isthmuscingulate,0.02870956320548441,-0.08240755834369301,-0.03999569544290768,-0.2889764703741825,0.2182821919808787
rh_lateraloccipital,0.20778809413781735,-0.060416647655460155,-0.13568617978786732,0.026619089265800217,0.017204820715311094
rh_lateralorbitofrontal,0.03362449453710721,-0.1316407250462603,0.07064667543081762,0.09006217759940127,-0.012542417519682414
rh_lingual,0.19725449952260005,-0.03991066852398561,-0.19864426519223677,-0.15225635081695862,-0.03183805972092323
rh_medialorbitofrontal,0.06459444646624216,-0.11039416945650328,0.13214300717354985,0.014693011414116825,-0.01907839002996482
rh_middletemporal,-0.02310104482443904,-0.16393511857376852,0.0880551921948758,-0.02542908469893601,-0.03380889747697421
rh_parahippocampal,-0.052710665637528395,-0.12606098541423796,0.004039727810213098,-0.01791831853011959,0.09142372142588322
rh_paracentral,0.008198548580240694,-0.14890281793268792,-0.019836089338678267,-0.03822067441421648,-0.031358055797674395
rh_parsopercularis,0.041631855942141784,-0.1022377522231241,0.04362315814407853,-0.10203234894337679,-0.09046301299431593
rh_parsorbitalis,0.07136471705277515,-0.09325375530307174,0.09168696649650664,0.1134083707747653,-0.05477541480255322
rh_parstriangularis,0.03437283398083104,-0.12370171446167275,0.021445742513727575,-0.039831391663429416,-0.10885899880475283
rh_pericalcarine,0.23968982369783032,0.03365315390429705,-0.20762502335922078,0.048957863855036414,0.03874533558836487
rh_postcentral,0.06778684721655552,-0.10253470659913234,-0.055570676290334214,-0.1855767364690155,-0.09288226991265484
rh_posteriorcingulate,0.012418889382226583,-0.0682809000503042,0.1640742523368525,0.12742566334036087,0.2217606563672366
rh_precentral,0.054775929362125934,-0.14712115987695587,-0.030131902137724504,-0.06903664606388452,-0.07946094718197116
rh_precuneus,0.05978724822227741,-0.16787763153763335,-0.03408989619210388,-0.003560341721868437,0.04826177780501981
rh_rostralanteriorcingulate,-0.12045470686234155,-0.16430794778098307,0.06842453862970073,-0.10792005100995973,-0.05929925055153036
rh_rostralmiddlefrontal,0.0955814407098043,-0.1408630458398391,-0.015764903998757063,0.17268578103264504,0.2097150695007451
rh_superiorfrontal,0.12054336343765479,-0.11542258666800154,-0.046857118956746505,0.3024597650050346,0.34111492566560664
rh_superiorparietal,0.13328543010727367,-0.0798768365463683,-0.04319845503448834,-0.17217188545061596,0.024140477484243406
rh_superiortemporal,0.09499493504186554,-0.08163228619857107,0.08569487479953385,0.035496488995004245,-0.044747196692033815
rh_supramarginal,0.07431190409533363,-0.12136925260888494,0.09558900874927809,0.03458654710722496,-0.04455817936017165
rh_frontalpole,0.06132437268010193,-0.08138983917260188,-0.06423182782816693,0.1972998413887442,-0.29129271015260977
rh_temporalpole,0.08534903959508547,-0.02740694119495378,0.01258975225277167,0.1483475942415893,0.11343063346727832
rh_transversetemporal,-0.031129322335974093,-0.11539539107818571,0.0377086287640869,-0.09401669067218887,-0.11145574997368776
rh_insula,0.051867611396040715,-0.06464033348084758,0.03773159285730429,0.02346003405402355,0.19475624825037074
sex_1,0.40721415567859265,0.21087492961646379,0.4878426546975729,0.016908394282816493,-0.15299125158045132
assessment_centre_11026,-0.029329169449881155,-0.018659633460549305,-0.05642654942005635,0.21951628023773415,0.011040705274703532
assessment_centre_11027,-0.05262278304920088,-0.03896943673448259,-0.10084277174784455,0.03315037990051505,0.16008703251880796
