,Component_1,Component_2,Component_3,Component_4,Component_5,Component_6
lh_medialorbitofrontal_thickness,-0.08504496809123535,-0.049015157304769116,0.08793151603151025,0.21490323870748307,-0.07550328459249424,0.07590507625547228
rh_medialorbitofrontal_thickness,-0.02942176788630083,-0.11198582573157388,0.26278393780142056,0.09002950012810615,0.09889324541914875,0.09024732592356784
lh_middletemporal_thickness,-0.13515161351403512,-0.03984648503923412,-0.1423219721993921,-0.046562871853985395,-0.2744458348529906,0.08134346987174235
rh_middletemporal_thickness,-0.14216332322371772,-0.03063034715466309,0.11818477224296663,-0.1731753443150104,-0.010061502806850817,0.09393884529634569
lh_paracentral_thickness,-0.13739202705973466,-0.058771129490943715,-0.09415082320827574,0.027264841863272694,-0.0660351379358488,-0.0482314501428246
rh_paracentral_thickness,-0.09688444139158846,-0.10603840234514658,-0.04683027180126608,-0.2687307881890788,-0.16590187279046228,-0.22822221082210464
lh_parahippocampal_thickness,-0.043742269655965456,-0.06049555134269653,0.14117473070426798,0.18669883438880014,-0.1720929790247825,-0.040584503941915935
rh_parahippocampal_thickness,-0.01626315542483878,-0.10512607786079756,0.26353098751833465,0.004138014550874594,-0.09651886762327717,-0.03917962220328184
lh_parsopercularis_thickness,-0.18142800218299115,0.011347310738760878,-0.09418573651396743,0.05067603662162581,0.007017667774980637,-0.018928631043304157
rh_parsopercularis_thickness,-0.15229942577672884,-0.027463716187611623,0.016178752390192803,-0.14129619868722657,0.036450871591446624,-0.03777030730803339
lh_parsorbitalis_thickness,-0.096609125588692,-0.07095085172705723,-0.1098737322974197,0.018914183485866626,-0.021958241596591512,0.05793808242313327
rh_parsorbitalis_thickness,-0.09885153475775027,-0.061591092186725024,0.0655093981714452,-0.013548498852524633,0.16124099022563512,0.07623173086074425
lh_parstriangularis_thickness,-0.11970741902142419,-0.08209329947949472,-0.1315972244307245,0.022823354710919893,-0.009569824668060792,0.025443103156720746
rh_parstriangularis_thickness,-0.05851892713397315,-0.1625930646508024,-0.07503575421039392,-0.20881622304008957,-0.02956755485058372,-0.04907238647505961
lh_pericalcarine_thickness,-0.03481544931762922,-0.11704959051000335,-0.05203329432259937,0.12571189107338132,-0.1010356863386777,-0.13103379796490033
rh_pericalcarine_thickness,0.021312538643743606,-0.1754053752288535,0.09684571878751977,-0.04406026667201234,0.05613508559897099,-0.049284614118990044
lh_postcentral_thickness,-0.16187146407797665,-0.03203782566382622,-0.09523513902003734,0.13361218927758006,-0.002633519334006765,-0.1254949640249289
rh_postcentral_thickness,-0.13879478330261022,-0.041484078635130525,0.09508361020851006,-0.09038682033035854,0.08832143108372496,-0.1641476165943115
lh_posteriorcingulate_thickness,0.014975644834333567,-0.18653230287286368,0.01659072498861878,0.1492076612255921,-0.17682955922442073,-0.07038116829159943
rh_posteriorcingulate_thickness,-0.015241673846681908,-0.1288425818528274,0.3156728958923985,0.13387894465682576,0.05136907790998852,-0.0487628379976651
lh_precentral_thickness,-0.22151366684382928,0.044678114651298326,-0.02794156168167588,0.19158089606470988,0.15598294663527104,0.11196927438354416
