,Component_1,Component_2,Component_3,Component_4,Component_5,Component_6,Component_7,Component_8,Component_9,Component_10
lh_bankssts-rh_cuneus,0.022519625124609432,-0.015425596233920045,0.01508881383489995,-0.018415457413693603,0.004352077070758725,0.013425023655227542,0.002990887493644945,-0.018336766062004795,0.03612109648338408,0.009726228151557926
lh_bankssts-rh_entorhinal,-0.01087352582733777,-0.006259954634404033,0.004254624749538062,-0.01910405023181894,0.0115607420897081,0.028248319831964453,-0.019827985041329387,-0.0036178565776470648,0.009383083480148269,0.00730181173798794
lh_bankssts-rh_fusiform,-0.01861864247563434,-0.0012079800742892453,0.02122102671284342,-0.012936165261814472,-0.003913871955839596,0.026123622863336197,-0.011632022488478208,-0.0040995081626661175,0.012595971393825392,0.014154518770459574
lh_bankssts-rh_inferiorparietal,-0.012618919011350281,0.00663193227264091,0.01550603205790717,-0.014506710447676735,-0.0015235222925495794,0.023542864188692746,-0.019599234302106933,-0.01930942845321398,0.019044392052537426,0.018711091927036655
lh_bankssts-rh_inferiortemporal,-0.019930458536341653,-0.010428399150026064,0.014732839708217392,-0.018327557031827636,-0.004024365377155063,0.02679276116664587,-0.022483296482182884,-0.018589713722244296,-0.002455243854455204,0.0004966194499925915
lh_bankssts-rh_isthmuscingulate,-0.006244762256534291,-0.02234125327526552,0.010452510245624987,-0.006918172432084486,0.02291263637240014,-0.010607524764101624,-0.0034856918668785862,-0.005131703867971017,0.0035430499227679492,0.005571165086128317
lh_bankssts-rh_lateraloccipital,0.004351698984867803,-0.005453376491354861,0.018047832792028096,-0.01587618040548767,0.00207686503905508,0.02412182491720485,-0.007096112212297326,-0.022917272208221803,0.026463631537991437,0.015465681948111801
lh_bankssts-rh_lateralorbitofrontal,-0.013695374787967798,0.009785667125173866,0.021856555197266148,-0.014337282662051918,-0.0067558387753987904,0.033221000738606864,-0.017783892736323362,-0.01960301283875299,0.008729871642768918,0.007010707272974255
lh_bankssts-rh_lingual,0.014398950445052813,-0.019524415190042013,0.02016350035260869,-0.014891634992093901,0.011473753122831413,-0.005627643332908506,0.005946939505889773,-0.014794763366941958,0.04087056656196374,0.005812014844496272
lh_bankssts-rh_medialorbitofrontal,-0.010374561577403537,0.00921957822712037,0.01667860763103678,-0.017876189493015764,-0.0009065885768822964,0.02935175815131789,-0.01545777716335425,-0.018325740767204255,0.02143826758269193,0.004164697703211971
lh_bankssts-rh_middletemporal,-0.01393064234552374,-0.0007402671314752112,0.00719427572643256,-0.022912388169151244,-0.017696120705508175,0.01451398653934748,-0.025977935186913787,-0.02070516953932244,0.0063793487845542896,0.00276920136838358
lh_bankssts-rh_parahippocampal,-0.024206772958498098,-0.015349723136211961,-0.005968127915574971,-0.022964624130712114,-0.009268600136409191,0.01608602053266849,0.009724322548739972,-0.017292437143782705,-0.001120235056664821,0.006296518444955179
lh_bankssts-rh_paracentral,-0.01970678378047848,0.003920439288698688,0.013004529797519471,-0.012970526774994974,0.00658284868321363,0.008175605828797162,-0.010536620944659514,-0.018822310770717526,0.016388468156071725,-0.007707920544082263
lh_bankssts-rh_parsopercularis,-0.006799066466386325,0.012911393325135726,0.010630637057186884,-0.01579838929004103,-0.014950017235686845,-0.001433244674316403,-0.028268158452493652,-0.019309175721734125,-0.016316718069582008,0.0035972727562949814
lh_bankssts-rh_parsorbitalis,-0.01094019896270655,0.0027237848351692275,0.015418212222607676,-0.01704159414408706,-0.0013973535183644892,0.02714569645012306,-0.026164742182183818,-0.025522387792134442,0.01468462716816028,0.015513607940658104
lh_bankssts-rh_parstriangularis,-0.01370468816215357,0.004535293789994577,0.014906504600923513,-0.015305565775743563,-0.00249126861950817,0.008841844266914513,-0.02484290292149843,-0.025040725848028,0.009288031182445507,0.011291733191177392
lh_bankssts-rh_pericalcarine,0.02724397220350947,-0.036545299781052185,-0.0031372035744565052,-0.021017047590017088,0.0076559084067722065,0.000593780436818474,0.004216548531093727,-0.018401861437751174,0.04855771578716751,-0.016196281172521733
lh_bankssts-rh_postcentral,-0.00251808508019548,0.004720376475100766,0.01330191219906874,-0.02187976715713288,-0.016150170315836373,0.013822209338438073,0.03082364128393445,-0.025379009566739538,0.006726303365743492,-0.02026668327021519
lh_bankssts-rh_posteriorcingulate,-0.006727050169500588,0.012210768973419056,-0.02580433743410841,-0.024336953547339467,0.03798063945936556,-0.0015442919404770853,-0.014844694717298417,-0.015726215230725527,0.00751213424393008,-0.01530491607357136
lh_bankssts-rh_precentral,-0.015808896384435202,0.008382156695723824,0.017539462430443277,-0.011585684928451407,-0.0023868618395832047,0.016465265448705618,-0.015107198289888643,-0.01863571482079448,0.01138907711269994,0.008446874685906054
lh_bankssts-rh_precuneus,-0.01781589482548127,-0.008174872100319832,0.011292047142336442,-0.018505993714228428,-0.006248752856114299,0.012533553724609136,-0.021663258272292256,-0.03267222145493178,0.006293450891548375,0.009032510377073751
lh_bankssts-rh_rostralanteriorcingulate,-0.023594401844957376,0.013609926648329496,0.02196157968807299,-0.012428004220073221,-0.0009335629298405647,0.009523176693598166,-0.021297084587178966,-9.294918665534147e-06,0.014006856392776318,-0.001625404891897583
lh_bankssts-rh_rostralmiddlefrontal,-0.00956100127202884,-0.0025161694091883793,0.009606810212981938,-0.017266301865631096,-0.0036066693043113954,0.017505823076671347,-0.021845632257326653,-0.027040297948849178,0.010512739787586283,-0.0028106289237412895
lh_bankssts-rh_superiorfrontal,-0.0003590381909862681,0.02423908039893185,0.01796376141144471,-0.020483857867284884,-0.013595860690674364,0.023158193327462797,-0.03650096294533787,-0.019706772861447563,-0.004039515694099105,0.012364509079951378
lh_bankssts-rh_superiorparietal,-0.0029710516931674346,0.007993311294857263,0.02629403004770972,-0.009249116319971573,-0.0009964447849279325,0.009910950492193704,-0.00042921061663850455,-0.03313463502882062,0.01609674949858508,0.023584163373467748
